Date,Year,Month,Barangay,Barangay_cases
2021-01-01,2021,1,BAKAKENG CENTRAL,3
2021-01-01,2021,1,CAMP 7,2
2021-01-01,2021,1,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),1
2021-01-01,2021,1,BAKAKENG NORTH,1
2021-01-01,2021,1,GABRIELA SILANG,1
2021-01-01,2021,1,GUISAD SORONG,1
2021-01-01,2021,1,HAPPY HOMES (HAPPY HOMES-LUCBAN),1
2021-01-01,2021,1,KAYANG-HILLTOP,1
2021-01-01,2021,1,LOAKAN PROPER,1
2021-01-01,2021,1,PINSAO PROPER,1
2021-01-01,2021,1,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",1
2021-01-01,2021,1,SANTO TOMAS PROPER,1
2021-02-01,2021,2,CAMP 8,4
2021-02-01,2021,2,POLIWES,3
2021-02-01,2021,2,KIAS,2
2021-02-01,2021,2,ANDRES BONIFACIO (LOWER BOKAWKAN),1
2021-02-01,2021,2,APUGAN-LOAKAN,1
2021-02-01,2021,2,BAKAKENG NORTH,1
2021-02-01,2021,2,BROOKSPOINT,1
2021-02-01,2021,2,CITY CAMP CENTRAL,1
2021-02-01,2021,2,GIBRALTAR,1
2021-02-01,2021,2,LEGARDA-BURNHAM-KISAD,1
2021-02-01,2021,2,QUEZON HILL PROPER,1
2021-02-01,2021,2,"QUIRINO HILL, MIDDLE",1
2021-02-01,2021,2,SALUD MITRA,1
2021-02-01,2021,2,"SANITARY CAMP, NORTH",1
2021-03-01,2021,3,CAMP 7,1
2021-03-01,2021,3,CAMP 8,1
2021-03-01,2021,3,"GENERAL EMILIO F. AGUINALDO (QUIRINO-MAGSAYSAY, LOWER)",1
2021-03-01,2021,3,PINGET,1
2021-04-01,2021,4,CAMP ALLEN,2
2021-04-01,2021,4,KIAS,2
2021-04-01,2021,4,ASIN ROAD,1
2021-04-01,2021,4,CAMP 8,1
2021-04-01,2021,4,CITY CAMP PROPER,1
2021-04-01,2021,4,GABRIELA SILANG,1
2021-04-01,2021,4,KAYANG-HILLTOP,1
2021-04-01,2021,4,LIWANAG-LOAKAN,1
2021-04-01,2021,4,QUEZON HILL PROPER,1
2021-04-01,2021,4,SAN LUIS VILLAGE,1
2021-05-01,2021,5,LOAKAN PROPER,8
2021-05-01,2021,5,POLIWES,6
2021-05-01,2021,5,KIAS,5
2021-05-01,2021,5,GABRIELA SILANG,4
2021-05-01,2021,5,LIWANAG-LOAKAN,4
2021-05-01,2021,5,ASIN ROAD,3
2021-05-01,2021,5,CAMP 7,3
2021-05-01,2021,5,APUGAN-LOAKAN,2
2021-05-01,2021,5,MANUEL A. ROXAS,2
2021-05-01,2021,5,"QUIRINO HILL, MIDDLE",2
2021-05-01,2021,5,"QUIRINO HILL, WEST",2
2021-05-01,2021,5,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",2
2021-05-01,2021,5,SALUD MITRA,2
2021-05-01,2021,5,SANTO TOMAS PROPER,2
2021-05-01,2021,5,BAKAKENG CENTRAL,1
2021-05-01,2021,5,BAYAN PARK EAST,1
2021-05-01,2021,5,CAMP 8,1
2021-05-01,2021,5,CAMP ALLEN,1
2021-05-01,2021,5,HONEYMOON (HONEYMOON-HOLY GHOST),1
2021-05-01,2021,5,KAYANG-HILLTOP,1
2021-05-01,2021,5,LEGARDA-BURNHAM-KISAD,1
2021-05-01,2021,5,"MODERN SITE, EAST",1
2021-05-01,2021,5,PHIL-AM,1
2021-05-01,2021,5,PINSAO PROPER,1
2021-05-01,2021,5,QUEZON HILL PROPER,1
2021-05-01,2021,5,SAN LUIS VILLAGE,1
2021-05-01,2021,5,SAN VICENTE,1
2021-05-01,2021,5,TEODORA ALONZO,1
2021-05-01,2021,5,TRANCOVILLE,1
2021-05-01,2021,5,VICTORIA VILLAGE,1
2021-06-01,2021,6,LOAKAN PROPER,27
2021-06-01,2021,6,POLIWES,16
2021-06-01,2021,6,KIAS,13
2021-06-01,2021,6,APUGAN-LOAKAN,10
2021-06-01,2021,6,CAMP 7,10
2021-06-01,2021,6,IRISAN,10
2021-06-01,2021,6,CAMP 8,8
2021-06-01,2021,6,GABRIELA SILANG,8
2021-06-01,2021,6,"MODERN SITE, EAST",8
2021-06-01,2021,6,SAN VICENTE,8
2021-06-01,2021,6,LIWANAG-LOAKAN,7
2021-06-01,2021,6,SANTO TOMAS PROPER,6
2021-06-01,2021,6,"MODERN SITE, WEST",5
2021-06-01,2021,6,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),4
2021-06-01,2021,6,BAKAKENG CENTRAL,4
2021-06-01,2021,6,BROOKSIDE,4
2021-06-01,2021,6,PINSAO PILOT PROJECT,4
2021-06-01,2021,6,SALUD MITRA,4
