Barangay,overall_share,recent_share,seasonal_share,risk_score_raw,risk_score,Date,Year,Month,predicted_outbreak_probability,predicted_city_cases_proxy,predicted_barangay_cases_proxy,predicted_barangay_label
A. BONIFACIO-CAGUIOA-RIMANDO,0.015224856367173814,0.0,0.0,0.003044971273434763,0.0015070233198904571,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.12219297145797842,Higher Risk
A. BONIFACIO-CAGUIOA-RIMANDO (ABCR),0.0111141747055262,0.0,0.0,0.00222283494110524,0.0011001299492504708,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.08920110638938313,Higher Risk
ABANAO-ZANDUETA-KAYONG-CHUGUM-OTEK,0.0022048934577819303,0.0,0.0,0.00044097869155638607,0.00021825006283248693,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.017696224966399703,Higher Risk
ALFONSO TABORA,0.008577975256185956,0.0,0.011842757936507936,0.007636974019491159,0.003779706574304833,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.30646743912837077,Higher Risk
AMBIONG,0.013373799536951175,0.03810389217022565,0.015873015873015872,0.022042435494965866,0.010909286602439403,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.8845504438084478,Higher Risk
ANDRES BONIFACIO,0.00964281864485028,0.0,0.0,0.001928563728970056,0.0009544886478269895,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.07739216942533146,Higher Risk
ANDRES BONIFACIO (LOWER BOKAWKAN),0.011568883890780302,0.0,0.02305533279871692,0.01384144317751452,0.006850434955310244,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.5554492700416924,Higher Risk
APUGAN-LOAKAN,0.013925302344019978,0.016299709848096946,0.009720203488372093,0.012535075167419125,0.006203884666725122,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.503025462183847,Higher Risk
ASIN ROAD,0.040495139629523946,0.04824742961953321,0.03869691525534298,0.04192171443943624,0.02074797940499272,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,1.6822946412198074,Higher Risk
ATOK TRAIL,0.009915076372016602,0.018518518518518517,0.0,0.007538570829958876,0.003731004669406574,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.30251857490268996,Higher Risk
AURORA HILL PROPER,0.011880397445946352,0.021505376344086023,0.0,0.008827692392415078,0.00436901931136531,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.3542502925912411,Higher Risk
AURORA HILL PROPER (MALVAR-SGT. FLORESCA),0.016451128900714637,0.0,0.06666666666666667,0.03662355911347626,0.01812580569245816,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,1.4696826707315955,Higher Risk
"AURORA HILL, NORTH CENTRAL",0.0070440500353404975,0.0,0.011627906976744186,0.0072227634954401924,0.0035747046668862716,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.2898454055530388,Higher Risk
"AURORA HILL, SOUTH CENTRAL",0.009066887485257386,0.018518518518518517,0.0,0.007368933052607032,0.0036470471987289474,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.295711107040188,Higher Risk
AZKCO,0.01098901098901099,0.0,0.0,0.0021978021978021982,0.0010877406934805924,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.0881965565880009,Higher Risk
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813,0.09231171875994451,0.07971056392097352,0.03945051295509361,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,3.1987397539905094,Higher Risk
BAKAKENG NORTH,0.031713512950439615,0.04225352112676056,0.04293083559272413,0.040484176724478155,0.020036510341699995,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,1.624607067446575,Higher Risk
BAL-MARCOVILLE,0.004900068836108636,0.0,0.0,0.0009800137672217272,0.00048503038892412154,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.03932739705339489,Higher Risk
BAL-MARCOVILLE (MARCOVILLE),0.0029178821803801866,0.0,0.0,0.0005835764360760373,0.000288824825960708,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.023418591636350867,Higher Risk
BALSIGAN,0.018198826328624757,0.03046174297878069,0.02066122715681657,0.023108901737767445,0.01143710422482538,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.9273471297097091,Higher Risk
BAYAN PARK EAST,0.008733808240538508,0.016855764214919144,0.0078125,0.010709740912583445,0.005300486558299199,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.42977583304996975,Higher Risk
BAYAN PARK VILLAGE,0.005244522277322366,0.0,0.0,0.0010489044554644732,0.0005191259072007231,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.04209194132860929,Higher Risk
BAYAN PARK WEST,0.011555436430478272,0.010752688172043012,0.0234375,0.01725564373770856,0.008540197977997661,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.6924592035157142,Higher Risk
BAYAN PARK WEST (BAYAN PARK),0.00993644901403988,0.0,0.0,0.001987289802807976,0.000983553474655232,2027-01-01,2027,1,0.11581196581196582,81.08233618233619,0.07974881348530041,Higher Risk
