Barangay,overall_share,recent_share,seasonal_share,risk_score_raw,risk_score,Date,Year,Month,predicted_outbreak_probability,predicted_city_cases_proxy,predicted_barangay_cases_proxy,predicted_barangay_label
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813,0.09231171875994451,0.07971056392097352,0.03945051295509361,2026-01-01,2026,1,0.03914529914529915,75.51122507122508,2.9789565629273547,Higher Risk
IRISAN,0.08043941817927641,0.06322546990425228,0.07141845289806648,0.0707647510561642,0.03502303322145515,2026-01-01,2026,1,0.03914529914529915,75.51122507122508,2.644632144262293,Higher Risk
CAMP 7,0.05260247531961397,0.07195130159691723,0.05157666892605746,0.057894220006026696,0.02865312405313242,2026-01-01,2026,1,0.03914529914529915,75.51122507122508,2.1636324993698155,Higher Risk
CAMP 8,0.027513281058517875,0.010752688172043012,0.2,0.10872846266331648,0.050006963456064424,2026-02-01,2026,2,0.06,70.84729952516619,3.542858318315836,Higher Risk
IRISAN,0.08043941817927641,0.06322546990425228,0.10049019607843138,0.08530062264634665,0.039231908692244966,2026-02-01,2026,2,0.06,70.84729952516619,2.7794747860634503,Higher Risk
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813,0.0462236746550472,0.05666654186852486,0.026062372436697078,2026-02-01,2026,2,0.06,70.84729952516619,1.8464487063591133,Higher Risk
"GENERAL EMILIO F. AGUINALDO (QUIRINO-MAGSAYSAY, LOWER)",0.02957987240482632,0.0,0.25,0.13091597448096526,0.05936415074587094,2026-03-01,2026,3,0.04,69.45762186008231,4.123292734551627,Higher Risk
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813,0.09518477043673013,0.08114708975936631,0.036796335116186685,2026-03-01,2026,3,0.04,69.45762186008231,2.5557859303369628,Higher Risk
CAMP 7,0.05260247531961397,0.07195130159691723,0.08489515609619755,0.07455346359109674,0.03380644011393861,2026-03-01,2026,3,0.04,69.45762186008231,2.348114933869466,Higher Risk
CAMP ALLEN,0.015977416085353455,0.016855764214919144,0.16666666666666666,0.09158554581487977,0.04076450194600068,2026-04-01,2026,4,0.06333333333333334,76.49483413290562,3.1182738148698306,Higher Risk
