Month,CHSO_cases,rainfall,relative_humidity,temp_mid,MonthName
1,64.2,50.541999999999994,82.19354838709678,41.831,Jan
2,55.0,35.82,81.19581280788177,34.470000000000006,Feb
3,44.2,71.38,82.28387096774193,53.260000000000005,Mar
4,50.8,78.96000000000001,84.25999999999999,58.55,Apr
5,112.8,327.12,86.70967741935485,182.73,May
6,422.0,308.12,88.64,172.38,Jun
7,866.8,1200.1399999999999,91.61935483870967,617.56,Jul
8,826.6,625.6800000000001,91.4258064516129,330.14,Aug
9,448.0,668.4799999999999,91.00666666666666,437.84,Sep
10,234.2,517.54,88.43225806451612,276.62,Oct
11,149.0,211.14000000000001,83.37333333333333,123.10999999999999,Nov
12,87.8,16.06,80.96129032258065,25.27,Dec
