Date,Year,Month,CHSO_cases,relative_humidity,rainfall,temp_min,temp_max,temp_mid,DOH_cases,count_diff_chso_vs_doh,cases_lag_1,rainfall_lag_1,relative_humidity_lag_1,temp_mid_lag_1,cases_lag_2,rainfall_lag_2,relative_humidity_lag_2,temp_mid_lag_2,cases_lag_3,rainfall_lag_3,relative_humidity_lag_3,temp_mid_lag_3,cases_roll3_mean,cases_roll3_max,month_sin,month_cos,outbreak
2021-01-01,2021,1,15,86.96774193548387,44.6,44.6,32.3,38.45,15.0,0.0,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,0
2021-02-01,2021,2,20,85.28571428571429,19.6,19.6,32.2,25.900000000000002,20.0,0.0,15.0,44.6,86.96774193548387,38.45,,,,,,,,,,,0.8660254037844386,0.5000000000000001,0
2021-03-01,2021,3,4,87.2258064516129,193.5,193.5,34.6,114.05,4.0,0.0,20.0,19.6,85.28571428571429,25.900000000000002,15.0,44.6,86.96774193548387,38.45,,,,,,,1.0,6.123233995736766e-17,0
2021-04-01,2021,4,12,85.36666666666666,31.9,31.9,38.6,35.25,12.0,0.0,4.0,193.5,87.2258064516129,114.05,20.0,19.6,85.28571428571429,25.900000000000002,15.0,44.6,86.96774193548387,38.45,13.0,20.0,0.8660254037844387,-0.4999999999999998,0
2021-05-01,2021,5,63,82.06451612903226,150.6,150.6,39.0,94.8,63.0,0.0,12.0,31.9,85.36666666666666,35.25,4.0,193.5,87.2258064516129,114.05,20.0,19.6,85.28571428571429,25.900000000000002,12.0,20.0,0.49999999999999994,-0.8660254037844387,0
2021-06-01,2021,6,235,87.1,292.1,292.1,38.2,165.15,235.0,0.0,63.0,150.6,82.06451612903226,94.8,12.0,31.9,85.36666666666666,35.25,4.0,193.5,87.2258064516129,114.05,26.333333333333332,63.0,1.2246467991473532e-16,-1.0,1
2021-07-01,2021,7,374,91.03225806451613,1540.1,1540.1,35.5,787.8,372.0,2.0,235.0,292.1,87.1,165.15,63.0,150.6,82.06451612903226,94.8,12.0,31.9,85.36666666666666,35.25,103.33333333333333,235.0,-0.4999999999999997,-0.8660254037844388,1
2021-08-01,2021,8,206,91.25806451612904,966.0,966.0,33.7,499.85,206.0,0.0,374.0,1540.1,91.03225806451613,787.8,235.0,292.1,87.1,165.15,63.0,150.6,82.06451612903226,94.8,224.0,374.0,-0.8660254037844384,-0.5000000000000004,1
2021-09-01,2021,9,108,87.7,431.9,431.9,34.5,233.2,108.0,0.0,206.0,966.0,91.25806451612904,499.85,374.0,1540.1,91.03225806451613,787.8,235.0,292.1,87.1,165.15,271.6666666666667,374.0,-1.0,-1.8369701987210297e-16,0
2021-10-01,2021,10,100,86.70967741935483,867.5,867.5,35.0,451.25,100.0,0.0,108.0,431.9,87.7,233.2,206.0,966.0,91.25806451612904,499.85,374.0,1540.1,91.03225806451613,787.8,229.33333333333334,374.0,-0.8660254037844386,0.5000000000000001,0
2021-11-01,2021,11,120,82.53333333333333,112.0,112.0,35.0,73.5,119.0,1.0,100.0,867.5,86.70967741935483,451.25,108.0,431.9,87.7,233.2,206.0,966.0,91.25806451612904,499.85,138.0,206.0,-0.5000000000000004,0.8660254037844384,0
2021-12-01,2021,12,67,80.38709677419355,6.1,6.1,34.4,20.25,76.0,-9.0,120.0,112.0,82.53333333333333,73.5,100.0,867.5,86.70967741935483,451.25,108.0,431.9,87.7,233.2,109.33333333333333,120.0,-2.4492935982947064e-16,1.0,0
2022-01-01,2022,1,29,80.70967741935483,85.1,85.1,33.0,59.05,40.0,-11.0,67.0,6.1,80.38709677419355,20.25,120.0,112.0,82.53333333333333,73.5,100.0,867.5,86.70967741935483,451.25,95.66666666666667,120.0,0.49999999999999994,0.8660254037844387,0
2022-02-01,2022,2,27,83.39285714285714,39.0,39.0,32.5,35.75,34.0,-7.0,29.0,85.1,80.70967741935483,59.05,67.0,6.1,80.38709677419355,20.25,120.0,112.0,82.53333333333333,73.5,72.0,120.0,0.8660254037844386,0.5000000000000001,0
2022-03-01,2022,3,38,81.03225806451613,70.1,70.1,35.5,52.8,41.0,-3.0,27.0,39.0,83.39285714285714,35.75,29.0,85.1,80.70967741935483,59.05,67.0,6.1,80.38709677419355,20.25,41.0,67.0,1.0,6.123233995736766e-17,0
2022-04-01,2022,4,41,85.3,166.3,166.3,36.4,101.35000000000001,45.0,-4.0,38.0,70.1,81.03225806451613,52.8,27.0,39.0,83.39285714285714,35.75,29.0,85.1,80.70967741935483,59.05,31.333333333333332,38.0,0.8660254037844387,-0.4999999999999998,0
